DeviceID,BayID,FromDay1,StartTime1,ToDay1,EndTime1,Exemption1,Description1,EffectiveOnPH1,TypeDesc1,Duration1,DisabilityExt1,FromDay2,StartTime2,ToDay2,EndTime2,Exemption2,Description2,TypeDesc2,Duration2,DisabilityExt2,EffectiveOnPH2,FromDay3,StartTime3,ToDay3,EndTime3,Exemption3,Description3,TypeDesc3,Duration3,DisabilityExt3,EffectiveOnPH3,FromDay4,StartTime4,ToDay4,EndTime4,Exemption4,Description4,TypeDesc4,Duration4,DisabilityExt4,EffectiveOnPH4,FromDay5,StartTime5,ToDay5,EndTime5,Exemption5,Description5,TypeDesc5,Duration5,DisabilityExt5,EffectiveOnPH5,FromDay6,StartTime6,ToDay6,EndTime6,Exemption6,Description6,TypeDesc6,Duration6,DisabilityExt6,EffectiveOnPH6
19063,2372,1,9:30:00,5,19:30:00,,1/2P MTR M-F 9:30-19:30,0,1/2P Meter,30,60,6,7:30:00,6,19:30:00,,2P SAT 7:30-19:30,2P,120,240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19064,2373,1,9:30:00,5,19:30:00,,1/2P MTR M-F 9:30-19:30,0,1/2P Meter,30,60,6,7:30:00,6,19:30:00,,2P SAT 7:30-19:30,2P,120,240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19065,2374,1,7:30:00,5,16:00:00,,1/4P M-F 7:30-16:00,0,1/4P,15,30,1,18:30:00,5,19:30:00,,1/4P M-F 18:30-19:30,1/4P,15,30,0,6,7:30:00,6,19:30:00,,2P SAT 7:30-19:30,2P,120,240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19066,2375,1,7:30:00,5,16:00:00,,1/4P M-F 7:30-16:00,0,1/4P,15,30,1,18:30:00,5,19:30:00,,1/4P M-F 18:30-19:30,1/4P,15,30,0,6,7:30:00,6,19:30:00,,2P SAT 7:30-19:30,2P,120,240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19067,2376,1,7:30:00,5,16:00:00,,1P MTR M-F 7:30-16:00,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR Sat 7.30am to 6.30pm,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19068,2377,1,7:30:00,5,16:00:00,,1P MTR M-F 7:30-16:00,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR Sat 7.30am to 6.30pm,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19069,2378,1,7:30:00,5,16:00:00,,1P MTR M-F 7:30-16:00,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR Sat 7.30am to 6.30pm,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19071,2380,1,9:30:00,5,20:30:00,,2P DIS M-F 9.30 - 8.30PM,0,2P Disabled Only,120,0,6,7:30:00,0,20:30:00,,2P DIS SAT - SUN 7.30 TO 20.30,2P Disabled Only,120,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19072,2381,1,7:30:00,5,16:00:00,,1P MTR M-F 7:30-16:00,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR Sat 7.30am to 6.30pm,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19073,2391,1,7:30:00,5,16:00:00,,1P MTR M-F 7:30-16:00,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR Sat 7.30am to 6.30pm,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19074,2392,1,7:30:00,5,16:00:00,,1P MTR M-F 7:30-16:00,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR Sat 7.30am to 6.30pm,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19075,2393,1,7:30:00,5,16:00:00,,1P MTR M-F 7:30-16:00,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR Sat 7.30am to 6.30pm,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19076,2394,1,7:30:00,5,16:00:00,,1P MTR M-F 7:30-16:00,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR Sat 7.30am to 6.30pm,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19077,2395,1,7:30:00,5,16:00:00,,1P MTR M-F 7:30-16:00,0,1P Meter,60,120,1,18:30:00,5,19:30:00,,1P MTR M-F 18:30-19:30,1P Meter,60,120,0,1,19:30:00,6,20:30:00,,P MTR M-SAT 19:30-20:30,P Meter,60,0,0,6,7:30:00,6,19:30:00,,1P MTR SAT 7:30-19:30,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,
19078,2396,1,7:30:00,5,16:00:00,,1P MTR M-F 7:30-16:00,0,1P Meter,60,120,1,18:30:00,5,19:30:00,,1P MTR M-F 18:30-19:30,1P Meter,60,120,0,1,19:30:00,6,20:30:00,,P MTR M-SAT 19:30-20:30,P Meter,60,0,0,6,7:30:00,6,19:30:00,,1P MTR SAT 7:30-19:30,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,
19079,2397,1,7:30:00,5,16:00:00,,1P MTR M-F 7:30-16:00,0,1P Meter,60,120,1,18:30:00,5,19:30:00,,1P MTR M-F 18:30-19:30,1P Meter,60,120,0,1,19:30:00,6,20:30:00,,P MTR M-SAT 19:30-20:30,P Meter,60,0,0,6,7:30:00,6,19:30:00,,1P MTR SAT 7:30-19:30,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,
19080,2398,1,7:30:00,5,16:00:00,,1P MTR M-F 7:30-16:00,0,1P Meter,60,120,1,18:30:00,5,19:30:00,,1P MTR M-F 18:30-19:30,1P Meter,60,120,0,1,19:30:00,6,20:30:00,,P MTR M-SAT 19:30-20:30,P Meter,60,0,0,6,7:30:00,6,19:30:00,,1P MTR SAT 7:30-19:30,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,
19081,2400,1,7:30:00,5,16:00:00,,1P MTR M-F 7:30-16:00,0,1P Meter,60,120,1,18:30:00,5,19:30:00,,1P MTR M-F 18:30-19:30,1P Meter,60,120,0,1,19:30:00,6,20:30:00,,P MTR M-SAT 19:30-20:30,P Meter,60,0,0,6,7:30:00,6,19:30:00,,1P MTR SAT 7:30-19:30,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,
18856,2407,1,7:30:00,6,20:30:00,,2P MTR M-SAT 7:30-20:30,0,2P Meter,120,240,0,7:30:00,0,18:30:00,,2P SUN 7:30-18:30,2P,120,240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18857,2408,1,7:30:00,6,20:30:00,,2P MTR M-SAT 7:30-20:30,0,2P Meter,120,240,0,7:30:00,0,18:30:00,,2P SUN 7:30-18:30,2P,120,240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
